"ID","Nom","DateDebut","DateFin","UtilisateursInscrits"
"1","Patrouille de Sécurité","2024-08-01","2024-08-02","mmartin@example.com;adubois@example.com;plefevre@example.com;lucas.durand@example.com;emma.moreau@example.com"
"2","Transport de Matériaux","2024-08-03","2024-08-04","jdupont@example.com;pmoreau@example.com;claire.lefevre@example.com;lucas.durand@example.com;antoine.laurent@example.com;julie.simon@example.com"
"3","Inspection des Infrastructures","2024-08-05","2024-08-06","jdupont@example.com;pmoreau@example.com;claire.lefevre@example.com;emma.moreau@example.co;antoine.laurent@example.com"
"4","Assemblage de Composants","2024-08-07","2024-08-08","mmartin@example.com;adubois@example.com;plefevre@example.com;lucas.durand@example.com"
"5","Maintenance Préventive","2024-08-09","2024-08-10","mmartin@example.com;adubois@example.com;plefevre@example.com;emma.moreau@example.com;antoine.laurent@example.com;julie.simon@example.com"
"6","Surveillance Environnementale","2024-08-11","2024-08-12","jdupont@example.com;pmoreau@example.com;claire.lefevre@example.com;lucas.durand@example.com;antoine.laurent@example.com"
"7","Livraison de Colis","2024-08-13","2024-08-14","mmartin@example.com;adubois@example.com;plefevre@example.com;antoine.laurent@example.com;julie.simon@example.com"
"8","Assistance aux Personnes Âgées","2024-08-15","2024-08-16","mmartin@example.com;adubois@example.com;plefevre@example.com;emma.moreau@example.com;antoine.laurent@example.com"
"10","Analyse de Données","2024-08-19","2024-08-20","jdupont@example.com;pmoreau@example.com;claire.lefevre@example.com;julie.simon@example.com;emma.moreau@example.com"
"11","Gestion des Stocks","2024-08-21","2024-08-22","jdupont@example.com;pmoreau@example.com;claire.lefevre@example.com;lucas.durand@example.com;julie.simon@example.com"
